Code;Name;Type
11.02.08.2023;Pulonas Baru;6
11.02.08.2025;Kuta Genting;6
11.02.08.2026;Pangguh;6
11.02.08.2027;Lawe Sagu;6
11.02.08.2028;Pekhapet Timur;6
11.02.08.2029;Bahagia;6
11.02.08.2030;Kute Galuh Asli;6
11.02.09;Bukit Tusam;4
11.02.09.2001;Kute Lengat Pangan;6
11.02.09.2002;Kute Lengat Selian;6
11.02.09.2003;Tualang Baru;6
11.02.09.2004;Alur Buluh;6
11.02.09.2005;Maha Singkil;6
11.02.09.2006;Tenembak Bintang;6
11.02.09.2007;Kute Lingga;6
11.02.09.2008;Rikit Bur;6
11.02.09.2010;Kerukunan;6
11.02.09.2011;Lawe Dua;6
11.02.09.2012;Rema;6
11.02.09.2013;Bambel Baru;6
11.02.09.2014;Pejuang;6
11.02.09.2015;Darussalam;6
11.02.09.2016;Amaliah;6
11.02.09.2017;Sebudi Jaya;6
11.02.09.2018;Gumpang;6
11.02.09.2019;Kute Gekhat;6
11.02.09.2020;Paye Khambung;6
11.02.09.2021;Mbak Sako;6
11.02.09.2022;Darul Imami;6
11.02.09.2023;Rikit Bur II;6
11.02.09.2024;Kute Empat Lima;6
11.02.10;Semadam;4
11.02.10.2001;Simpang Semadam;6
11.02.10.2002;Semadam Awal;6
11.02.10.2003;Semadam Asal;6
11.02.10.2004;Lawe Kinga Gabungan;6
11.02.10.2005;Lawe Kinga Tebing Tinggi;6
11.02.10.2006;Kebun Sere;6
11.02.10.2007;Lawe Beringin Horas;6
11.02.10.2008;Lawe. Berigin Gayo;6
11.02.10.2009;Suka Makmur;6
11.02.10.2010;Pasar Puntung;6
11.02.10.2011;Titi Pasir;6
11.02.10.2012;Lawe Petanduk I;6
11.02.10.2013;Ngkeran Alur Buluh;6
11.02.10.2014;Kampung Baru;6
11.02.10.2015;Sepakat Segenap;6
11.02.10.2016;Selamat Indah;6
11.02.10.2017;Lawe Kinge Lapter;6
11.02.10.2018;Lawe Mejile;6
11.02.10.2019;Lawe Petanduk-II;6
11.02.11;Babul Rahmah;4
11.02.11.2004;Titi Mas;6
11.02.11.2005;Meranti;6
11.02.11.2006;Kute Lang-Lang;6
11.02.11.2007;Lawe Sumur;6
11.02.11.2008;Pardamaian;6
11.02.11.2009;Salim Pipit;6
11.02.11.2010;Penguhapan;6
11.02.11.2011;Lumban Tua;6
11.02.11.2012;Mutiara Damai;6
11.02.11.2013;Dolok Nauli;6
11.02.11.2014;Tuhi Jongkat;6
11.02.11.2015;Uning Sigugur;6
11.02.11.2016;Lumban Sitio-tio;6
11.02.11.2017;Lawe Malum;6
11.02.11.2018;Alur Baning;6
11.02.11.2019;Lingga Alas;6
11.02.11.2020;Khambung Tumbung;6
11.02.11.2021;Tuah Mesade;6
11.02.11.2022;Sumukh Alas;6
11.02.11.2023;Alukh Bakhu;6
11.02.11.2024;Sepekhinding;6
11.02.11.2025;Tanoh Subukh;6
11.02.11.2026;Pinggan Mbelang;6
11.02.11.2027;Sigai Indah;6
11.02.11.2028;Ukekh Deleng;6
11.02.11.2029;Alas Mesikhat;6
11.02.11.2030;Titi Hakhapen;6
11.02.12;Ketambe;4
11.02.12.2001;Aunan Sepakat;6
11.02.12.2002;Lawe Penanggalan;6
11.02.12.2003;Lawe Mengkudu;6
11.02.12.2004;Jambur Lak-lak;6
11.02.12.2005;Simpang Tiga Jongar;6
11.02.12.2006;Jongar Asli;6
11.02.12.2007;Ketambe;6
11.02.12.2008;Rumah Bundar;6
11.02.12.2009;Penyeberangan Cingkam;6
11.02.12.2010;Deleng Damar;6
11.02.12.2011;Bintang Bener;6
11.02.12.2012;Suka Rimbun;6
11.02.12.2013;Lawe Aunan;6
11.02.12.2014;Bener Bepapah;6
11.02.12.2015;Penungkunen;6
11.02.12.2016;Datok Pining;6
11.02.12.2017;Kati Maju;6
11.02.12.2018;Leuser;6
11.02.12.2019;Jati Sara;6
11.02.12.2020;Bukit Mbakhu;6
11.02.12.2021;Kayu Metangur;6
11.02.12.2022;Lawe Sembekan;6
11.02.12.2023;Lawe Beringin;6
11.02.12.2024;Lawe Ger-Ger;6
11.02.12.2025;Simpur Jaya;6
11.02.13;Deleng Pokhkisen;4
11.02.13.2001;Salang Baru;6
11.02.13.2002;Ranto Dior;6
11.02.13.2003;Lembah Alas;6
11.02.13.2004;Tenembak Lang-Lang;6
11.02.13.2005;Salang Sigotom;6
11.02.13.2006;Tualang Lama;6
11.02.13.2007;Gusung Batu;6
11.02.13.2008;Kaya Pangur;6
11.02.13.2009;Sepakat;6
11.02.13.2010;Lawe Pangkat;6
11.02.13.2011;Bunga Melur;6
11.02.13.2012;Penampaan;6
11.02.13.2013;Terutung Mbelang;6
11.02.13.2014;Salang Muara;6
11.02.13.2015;Lawe Hakhum;6
11.02.13.2016;Tanoh Khukahen;6
11.02.13.2017;Tading Ni Ulihi;6
11.02.13.2018;Peseluk Pesimbe;6
11.02.13.2019;Kane Lot;6
11.02.13.2020;Muhajirin;6
11.02.13.2021;Beriring Naru;6
11.02.13.2022;Kati Jeroh;6
11.02.14;Lawe Sumur;4
11.02.14.2001;Terutung Megara Lawe Pasaran;6
11.02.14.2002;Kisam Gabungan;6
11.02.14.2003;Kisam Kute Pasir;6
11.02.14.2004;Lawe Sumur;6
11.02.14.2005;Lawe Sumur Baru;6
11.02.14.2006;Kute Lesung;6
11.02.14.2007;Berandang;6
11.02.14.2008;Kute Bunin;6
11.02.14.2009;Buah Pala;6
11.02.14.2010;Panosan;6
11.02.14.2011;Lawe Pasaran Tengku Mbelin;6
11.02.14.2012;Terutung Megahke MBakhu;6
11.02.14.2013;Kisam Lestari;6
11.02.14.2014;Kisam Kute Rambe;6
11.02.14.2015;Lawe Polak;6
11.02.14.2016;Lawes Sumur Sepakat;6
11.02.14.2017;Setia Baru;6
11.02.14.2018;Teger Miko;6
11.02.15;Tanoh Alas;4
11.02.15.2001;Salim Pinim I;6
11.02.15.2002;Jambur Damar;6
11.02.15.2003;Alur Langsat;6
11.02.15.2004;Rambah Sayang;6
11.02.15.2006;Rumah Luar;6
11.02.15.2007;Tenembak Alas;6
11.02.15.2008;Lawe Tungkal;6
11.02.15.2009;Salim Pinim II;6
11.02.15.2010;Jambukh Pekhmate;6
11.02.15.2011;Khutung Mbelang;6
11.02.15.2012;Timang Rasa;6
11.02.15.2013;Stambul Jaya;6
11.02.15.2014;Alur Nangke;6
11.02.15.2015;Kute Mejile;6
11.02.16;Leuser;4
11.02.16.2001;Bintang Alga Musara;6
11.02.16.2002;Bintang Bukit Indah;6
11.02.16.2003;Tanjung Sari;6
11.02.16.2004;Bun-bun Alas;6
11.02.16.2005;Naga Timbul;6
11.02.16.2006;Gunung Pak-Pak;6
11.02.16.2007;Bukit Meriah;6
11.02.16.2008;Permata Musara;6
11.02.16.2009;Laut Tawar;6
11.02.16.2010;Kane Mende;6
11.02.16.2011;Lawe Sekhakut;6
11.02.16.2012;Bunbun Indah;6
11.02.16.2013;Suka Damai;6
11.02.16.2014;Tuah Kekhine;6
11.02.16.2015;Punce Nali;6
11.02.16.2016;Sade Ate;6
11.02.16.2017;Akhih Majile;6
11.02.16.2018;Ukhat Peseluk;6
11.02.16.2019;Tunas Mude;6
11.02.16.2020;Gaye Sendah;6
11.02.16.2021;Kute Hakhapen;6
11.02.16.2022;Kompas;6
11.02.16.2023;Sepakat;6
11.03;Kabupaten Aceh Timur;2
11.03.01;Darul Aman;4
11.03.01.2001;Alue Luddin Sa;6
11.03.01.2002;Alue Luddin Dua;6
11.03.01.2003;Alue Dalam;6
11.03.01.2004;Dama Pulo Sa;6
11.03.01.2005;Dama Pulo Dua;6
11.03.01.2006;Buket Kulam;6
11.03.01.2007;Seuneubok Teungoh;6
11.03.01.2008;Jungka Gajah;6
11.03.01.2009;Seuneubok Simpang;6
11.03.01.2010;Matang Pineung;6
11.03.01.2011;Lhok Geulumpang;6
11.03.01.2012;Blang Buket;6
11.03.01.2013;Meunasah Keutapang;6
11.03.01.2014;Buket Rumia;6
11.03.01.2015;Alue Gadeng;6
11.03.01.2016;Kapai Baro;6
11.03.01.2017;Seuneubok Tuha Sa;6
11.03.01.2018;Seuneubok Tuha Dua;6
11.03.01.2019;Seuneubok Buloh;6
11.03.01.2020;Gaseh Sayang;6
11.03.01.2021;Alue Lhok;6
11.03.01.2022;Trieng Gadeng;6
11.03.01.2023;Grong-Grong;6
11.03.01.2024;Matang Geuto;6
